Genus,Species,Family,Illegally_Hunted?,2006_IUCN_threat,AdultBodyMass_grams,AgeFirstBirth_days,AgeSexualMaturity_days,GestationLength_days,InterBirthInterval_days,Group_size,GeographicRange_km2,HomeRange_km2,MaximumLongevity_months,PopulationDensity_km2,MeanHumanPopulationDensity_km2,2003GrossNationalIncome_US$,MatingSystem,Diet,HabitatBreadth
Hemitragus,jemlahicus,Bovidae,Yes,Threatened,67900,730.00,1353.51,195.77,365.00,NA,130100,NA,261.60,NA,98.05,509070.04,Polygamous,NA,3
Hexaprotodon,liberiensis,Hippopotamidae,Yes,NA,227000,NA,1315.97,200.00,NA,1.25,35807,0.74,525.60,NA,86.62,22997.21,NA,Generalist,2
Hippocamelus,antisensis,Bovidae,No,NA,68600,NA,NA,235.73,NA,7.30,993124,NA,127.20,1.20,7.77,116924.39,NA,Specialist,3
Hippocamelus,bisulcus,Bovidae,No,NA,68800,NA,NA,212.92,NA,1.90,121225,0.88,NA,1.11,2.49,83665.73,Polygamous,Generalist,3
Hippopotamus,amphibius,Hippopotamidae,Yes,Threatened,1520000,1460.00,1750.88,235.37,696.54,NA,1849389,NA,654.00,4.87,35.22,8638.78,Polygamous,Specialist,3
Hippotragus,equinus,Bovidae,Yes,Threatened,260000,1049.38,730.00,278.23,317.00,12.00,8018853,NA,240.00,0.94,30.37,12081.88,Polygamous,Specialist,3
Hippotragus,niger,Bovidae,Yes,Threatened,234000,983.37,851.67,272.87,365.00,15.00,3149647,NA,267.00,1.27,28.15,9565.97,Polygamous,Specialist,1
Hydropotes,inermis,Cervidae,No,Not_Threatened,12700,NA,270.67,175.50,NA,NA,1140413,NA,144.00,NA,373.92,1574470.00,NA,Generalist,3
Hyemoschus,aquaticus,Tragulidae,Yes,NA,10800,NA,274.16,173.53,NA,1.00,2571576,0.21,168.00,16.10,39.68,6663.22,Monogamous,Generalist,2
Hylochoerus,meinertzhageni,Suidae,Yes,Not_Threatened,195000,532.29,451.86,151.00,365.00,10.00,2227871,NA,216.00,1.50,45.11,6298.68,NA,Generalist,5
Kobus,ellipsiprymnus,Bovidae,Yes,Threatened,202000,NA,1315.59,270.00,365.00,12.00,10067124,1.30,239.04,2.40,34.78,12171.48,Polygamous,Specialist,4
Kobus,kob,Bovidae,Yes,Threatened,79500,395.42,412.03,254.76,NA,40.00,3179797,101.00,263.04,2.54,39.38,13705.30,Polygamous,Specialist,4
Kobus,leche,Bovidae,Yes,Threatened,87400,638.75,785.70,229.81,NA,20.00,229752,NA,222.96,30.80,8.87,7427.78,Polygamous,Specialist,3
Kobus,megaceros,Bovidae,No,Not_Threatened,85200,NA,NA,NA,NA,NA,82555,NA,224.04,0.34,11.78,15658.88,NA,Specialist,3
Kobus,vardonii,Bovidae,Yes,Threatened,71000,NA,NA,258.09,365.00,5.50,1026509,NA,NA,4.65,15.22,5529.99,Polygamous,Specialist,4
Lama,glama,Camelidae,No,NA,137000,NA,730.00,334.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,Generalist,NA
Lama,guanicoe,Camelidae,No,Not_Threatened,95500,NA,586.19,334.58,NA,NA,NA,NA,339.60,0.46,NA,NA,Polygamous,Generalist,3
Lama,pacos,Camelidae,No,NA,64900,NA,365.00,343.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,Specialist,NA
Litocranius,walleri,Bovidae,Yes,Threatened,38500,562.71,730.00,204.15,240.77,8.00,1594553,NA,156.00,0.43,20.87,6686.22,Polygamous,Specialist,1
