Zip.Code,Sample.Number,Date.Submitted,Lead.ppb,copper.ppb,Street..,City,N,income,ave.income
48502,LG71319,9/6/16,0,0,3462,FLINT,524,37439,71.44847328
48502,LG61511,7/21/16,2,70,3301,FLINT,524,37439,71.44847328
48502,LG87409,11/17/16,1,0,210,FLINT,524,37439,71.44847328
48502,LG85708,11/7/16,,,324,FLINT,524,37439,71.44847328
48502,LG74835,9/19/16,0,0,914,FLINT,524,37439,71.44847328
48502,LG61545,7/21/16,0,70,5602,FLINT,524,37439,71.44847328
48502,LG85724,11/7/16,,,618,FLINT,524,37439,71.44847328
48502,LG91196,12/12/16,,,5390,FLINT,524,37439,71.44847328
48502,LG63036,7/28/16,2,0,506,FLINT,524,37439,71.44847328
48502,LG83097,10/20/16,,,3829,FLINT,524,37439,71.44847328
48502,LG64552,8/4/16,2,0,2809,FLINT,524,37439,71.44847328
48502,LG85709,11/7/16,,,821,FLINT,524,37439,71.44847328
48502,LG88053,11/21/16,,,6602,FLINT,524,37439,71.44847328
48502,LG58862,7/12/16,3,0,1201,FLINT,524,37439,71.44847328
48502,LG88150,11/21/16,3,80,2501,FLINT,524,37439,71.44847328
48502,LG66325,8/11/16,0,330,512,FLINT,524,37439,71.44847328
48502,LG64519,8/4/16,0,100,817,FLINT,524,37439,71.44847328
48502,LG64998,8/8/16,2,80,509,FLINT,524,37439,71.44847328
48502,LG81089,10/10/16,0,0,2125,FLINT,524,37439,71.44847328
48502,LG58025,7/7/16,7,0,1506,FLINT,524,37439,71.44847328
48502,LG57979,7/7/16,0,70,1953,FLINT,524,37439,71.44847328
48502,LG72137,9/8/16,0,0,2931,FLINT,524,37439,71.44847328
48502,LG91193,12/12/16,,,2114,FLINT,524,37439,71.44847328
48502,LG91158,12/12/16,0,0,4402,FLINT,524,37439,71.44847328
48502,LG88131,11/21/16,0,0,1002,FLINT,524,37439,71.44847328
48502,LG79585,10/3/16,2,0,2449,FLINT,524,37439,71.44847328
48502,LG60652,7/19/16,4,0,1713,FLINT,524,37439,71.44847328
48502,LG63017,7/28/16,0,0,309,FLINT,524,37439,71.44847328
48502,LG84540,10/31/16,,,914,FLINT,524,37439,71.44847328
48503,LG64554,8/4/16,0,0,2505,FLINT,9642,310929,32.24735532
48503,LG91168,12/12/16,,,3506,FLINT,9642,310929,32.24735532
48503,LG75352,9/21/16,41,90,2520,FLINT,9642,310929,32.24735532
48503,LG93143,12/22/16,0,0,2101,FLINT,9642,310929,32.24735532
48503,LG91205,12/12/16,,,644,FLINT,9642,310929,32.24735532
48503,LG59575,7/14/16,2,80,914,FLINT,9642,310929,32.24735532
48503,LG75329,9/21/16,0,0,610,FLINT,9642,310929,32.24735532
48503,LG87676,11/17/16,0,0,406,FLINT,9642,310929,32.24735532
48503,LG59566,7/14/16,0,0,2807,FLINT,9642,310929,32.24735532
48503,LG87605,11/17/16,,,,DAVISON,9642,310929,32.24735532
48503,LG87697,11/17/16,,,915,FLINT,9642,310929,32.24735532
48503,LG63344,8/1/16,0,90,517,FLINT,9642,310929,32.24735532
48503,LG91175,12/12/16,,,2416,FLINT,9642,310929,32.24735532
48503,LG91170,12/12/16,,,3506,FLINT,9642,310929,32.24735532
48503,LG60810,7/20/16,0,0,630,FLINT,9642,310929,32.24735532
48503,LG85702,11/7/16,6,0,926,FLINT,9642,310929,32.24735532
48503,LG75296,9/21/16,0,0,214,FLINT,9642,310929,32.24735532
48503,LG87380,11/17/16,1,0,2721,FLINT,9642,310929,32.24735532
48503,LG69557,8/25/16,0,0,1534,FLINT,9642,310929,32.24735532
48503,LG72800,9/12/16,7,0,2849,FLINT,9642,310929,32.24735532
48503,LG86718,11/14/16,,,424,FLINT,9642,310929,32.24735532
48503,LG71016,9/1/16,0,0,322,FLINT,9642,310929,32.24735532
48503,LG64534,8/4/16,0,0,4513,FLINT,9642,310929,32.24735532
48503,LG86720,11/14/16,,,1059,FLINT,9642,310929,32.24735532
48503,LG74866,9/19/16,0,0,647,FLINT,9642,310929,32.24735532
48503,LG60612,7/19/16,2,170,635,FLINT,9642,310929,32.24735532
48503,LG92353,12/19/16,,,1109,FLINT,9642,310929,32.24735532
48503,LG74220,9/15/16,0,0,1901,FLINT,9642,310929,32.24735532
48503,LG60614,7/19/16,0,100,610,FLINT,9642,310929,32.24735532
48503,LG87437,11/17/16,1,100,2317,FLINT,9642,310929,32.24735532
48503,LG59592,7/14/16,1,0,3406,FLINT,9642,310929,32.24735532
48503,LG77552,9/27/16,0,0,1201,FLINT,9642,310929,32.24735532
48503,LG90795,12/8/16,0,60,746,FLINT,9642,310929,32.24735532
48503,LG85359,11/3/16,0,0,2505,FLINT,9642,310929,32.24735532
48503,LG91157,12/12/16,0,0,2408,FLINT,9642,310929,32.24735532
48503,LG87407,11/17/16,8,90,911,FLINT,9642,310929,32.24735532
48503,LG78682,9/29/16,0,0,3622,FLINT,9642,310929,32.24735532
48503,LG64520,8/4/16,0,0,517,FLINT,9642,310929,32.24735532
48503,LG81781,10/13/16,0,0,3622,FLINT,9642,310929,32.24735532
48503,LG67888,8/18/16,6,0,631,FLINT,9642,310929,32.24735532
48503,LG91187,12/12/16,,,519,FLINT,9642,310929,32.24735532
48503,LG68216,8/19/16,2,0,639,FLINT,9642,310929,32.24735532
48503,LG93142,12/22/16,0,0,2101,FLINT,9642,310929,32.24735532
48503,LG88118,11/21/16,,,6236,MT MORRIS,9642,310929,32.24735532
48503,LG60220,7/18/16,0,100,1010,FLINT,9642,310929,32.24735532
48503,LG60615,7/19/16,0,0,258,FLINT,9642,310929,32.24735532
48503,LG87438,11/17/16,0,0,139,FLINT,9642,310929,32.24735532
48503,LG77527,9/27/16,0,60,1201,FLINT,9642,310929,32.24735532
48503,LG85317,11/3/16,,,1310,FLINT,9642,310929,32.24735532
48503,LG87625,11/17/16,,,,FLINT,9642,310929,32.24735532
48503,LG61500,7/21/16,0,0,150,FLINT,9642,310929,32.24735532
48503,LG61542,7/21/16,1,0,3505,FLINT,9642,310929,32.24735532
48503,LG83015,10/20/16,0,0,647,FLINT,9642,310929,32.24735532
48503,LG75285,9/21/16,6,0,741,FLINT,9642,310929,32.24735532
48503,LG60608,7/19/16,0,0,5410,FLINT,9642,310929,32.24735532
48503,LG91202,12/12/16,,,817,FLINT,9642,310929,32.24735532
48503,LG67969,8/18/16,1,0,1026,FLINT,9642,310929,32.24735532
48503,LG67839,8/18/16,1,0,2402,FLINT,9642,310929,32.24735532
48503,LG87408,11/17/16,1,0,2402,FLINT,9642,310929,32.24735532
48503,LG86516,11/10/16,0,70,1338,FLINT,9642,310929,32.24735532
48503,LG77540,9/27/16,0,0,1201,FLINT,9642,310929,32.24735532
48503,LG60793,7/20/16,6,0,2824,FLINT,9642,310929,32.24735532
48503,LG77542,9/27/16,0,110,1201,FLINT,9642,310929,32.24735532
48503,LG76245,9/22/16,0,0,3840,FLINT,9642,310929,32.24735532
48503,LG60641,7/19/16,6,0,8274,GRAND BLANC,9642,310929,32.24735532
48503,LG58355,7/11/16,"3,962","2,060",3213,FLINT,9642,310929,32.24735532
48503,LG88138,11/21/16,0,0,647,FLINT,9642,310929,32.24735532
48503,LG85700,11/7/16,0,0,2545,FLINT,9642,310929,32.24735532
48503,LG77548,9/27/16,0,0,1201,FLINT,9642,310929,32.24735532
48503,LG91216,12/12/16,,,729,FLINT,9642,310929,32.24735532
48503,LG71008,9/1/16,0,0,346,FLINT,9642,310929,32.24735532
48503,LG82142,10/17/16,0,0,413,FLINT,9642,310929,32.24735532
48503,LG80756,10/6/16,0,0,2505,FLINT,9642,310929,32.24735532
48503,LG92035,12/15/16,0,0,3019,FLINT,9642,310929,32.24735532
48503,LG84161,10/27/16,8,120,605,FLINT,9642,310929,32.24735532
48503,LG80747,10/6/16,0,0,121,FLINT,9642,310929,32.24735532
48503,LG92039,12/15/16,0,0,3010,FLINT,9642,310929,32.24735532
48503,LG61496,7/21/16,0,0,514,FLINT,9642,310929,32.24735532
48503,LG58836,7/12/16,0,0,1122,FLINT,9642,310929,32.24735532
48503,LG64532,8/4/16,0,0,3088,FLINT,9642,310929,32.24735532
48503,LG62982,7/28/16,0,0,430,FLINT,9642,310929,32.24735532
48503,LG57969,7/7/16,2,0,2409,FLINT,9642,310929,32.24735532
48503,LG76104,9/22/16,8,0,2831,FLINT,9642,310929,32.24735532
48503,LG61107,7/20/16,0,50,1201,FLINT,9642,310929,32.24735532
48503,LG69560,8/25/16,0,70,1402,FLINT,9642,310929,32.24735532
48503,LG89413,12/1/16,,,3910,FLINT,9642,310929,32.24735532
48503,LG90824,12/8/16,,,1016,FLINT,9642,310929,32.24735532
48503,LG90031,12/6/16,,,1200,PONTIAC,9642,310929,32.24735532
48503,LG88001,11/21/16,,,1518,FLINT,9642,310929,32.24735532
48503,LG61548,7/21/16,0,0,929,FLINT,9642,310929,32.24735532
48503,LG86557,11/10/16,,,929,FLINT,9642,310929,32.24735532
48503,LG92055,12/15/16,0,100,3002,FLINT,9642,310929,32.24735532
48503,LG79595,10/3/16,0,0,1314,FLINT,9642,310929,32.24735532
48503,LG71341,9/6/16,0,0,908,FLINT,9642,310929,32.24735532
48503,LG81097,10/10/16,7,0,3218,FLINT,9642,310929,32.24735532
48503,LG85324,11/3/16,,,1318,FLINT,9642,310929,32.24735532
48503,LG75377,9/21/16,1,100,2332,FLINT,9642,310929,32.24735532
48503,LG63034,7/28/16,3,70,2610,FLINT,9642,310929,32.24735532
48503,LG92064,12/15/16,0,0,1002,FLINT,9642,310929,32.24735532
48503,LG70058,8/29/16,1,90,112,FLINT,9642,310929,32.24735532
48503,LG87369,11/17/16,7,90,3421,FLINT,9642,310929,32.24735532
48503,LG70062,8/29/16,7,70,905,FLINT,9642,310929,32.24735532
48503,LG71373,9/6/16,0,0,4507,FLINT,9642,310929,32.24735532
48503,LG63352,8/1/16,2,80,575,FLINT,9642,310929,32.24735532
48503,LG71347,9/6/16,0,80,3110,FLINT,9642,310929,32.24735532
48503,LG83026,10/20/16,0,90,3510,FLINT,9642,310929,32.24735532
48503,LG58072,7/7/16,7,60,3220,FLINT,9642,310929,32.24735532
48503,LG71344,9/6/16,0,0,3462,FLINT,9642,310929,32.24735532
48503,LG92336,12/19/16,0,0,3239,FLINT,9642,310929,32.24735532
48503,LG92337,12/19/16,0,0,2175,FLINT,9642,310929,32.24735532
48503,LG92338,12/19/16,0,0,3818,FLINT,9642,310929,32.24735532
48503,LG81086,10/10/16,2,0,717,FLINT,9642,310929,32.24735532
48503,LG71364,9/6/16,0,50,702,FLINT,9642,310929,32.24735532
48503,LG61141,7/20/16,0,110,1201,FLINT,9642,310929,32.24735532
48503,LG92342,12/19/16,0,0,2409,FLINT,9642,310929,32.24735532
48503,LG61144,7/20/16,0,140,1201,FLINT,9642,310929,32.24735532
48503,LG92344,12/19/16,0,0,2701,FLINT,9642,310929,32.24735532
48503,LG61150,7/20/16,0,0,1201,FLINT,9642,310929,32.24735532
48503,LG58838,7/12/16,0,0,5322,FLINT,9642,310929,32.24735532
48503,LG77572,9/27/16,0,0,1201,FLINT,9642,310929,32.24735532
48503,LG83426,10/24/16,0,0,300,FLINT,9642,310929,32.24735532
48503,LG88657,11/28/16,0,0,1809,FLINT,9642,310929,32.24735532
48503,LG92045,12/15/16,0,0,3833,FLINT,9642,310929,32.24735532
48503,LG92072,12/15/16,,,528,FLINT,9642,310929,32.24735532
48503,LG89412,12/1/16,,,955,FLINT,9642,310929,32.24735532
48503,LG72158,9/8/16,0,110,1854,FLINT,9642,310929,32.24735532
48503,LG87360,11/17/16,22,0,214,FLINT,9642,310929,32.24735532
48503,LG87598,11/17/16,,,,FLINT,9642,310929,32.24735532
48503,LG66694,8/15/16,22,200,2406,FLINT,9642,310929,32.24735532
48503,LG83419,10/24/16,0,210,3331,BURTON,9642,310929,32.24735532
48503,LG77529,9/27/16,0,0,1201,FLINT,9642,310929,32.24735532
48503,LG59611,7/14/16,0,0,2221,FLINT,9642,310929,32.24735532
48503,LG76877,9/26/16,3,0,1201,FLINT,9642,310929,32.24735532
48503,LG59569,7/14/16,1,230,,FLINT,9642,310929,32.24735532
48503,LG92060,12/15/16,0,0,1002,FLINT,9642,310929,32.24735532
48503,LG69561,8/25/16,3,0,610,FLINT,9642,310929,32.24735532
48503,LG88009,11/21/16,,,1518,FLINT,9642,310929,32.24735532
48503,LG77535,9/27/16,0,0,1201,FLINT,9642,310929,32.24735532
48503,LG89837,12/5/16,1,0,1602,FLINT,9642,310929,32.24735532
48503,LG90791,12/8/16,0,70,401,FLINT,9642,310929,32.24735532
48503,LG82134,10/17/16,0,0,1929,FLINT,9642,310929,32.24735532
48503,LG91167,12/12/16,,,1239,FLINT,9642,310929,32.24735532
48503,LG77541,9/27/16,0,0,1201,FLINT,9642,310929,32.24735532
48503,LG92066,12/15/16,,,709,FLINT,9642,310929,32.24735532
48503,LG83036,10/20/16,0,0,620,FLINT,9642,310929,32.24735532
48503,LG66314,8/11/16,0,0,2015,FLINT,9642,310929,32.24735532
48503,LG90803,12/8/16,0,300,1518,FLINT,9642,310929,32.24735532
48503,LG75334,9/21/16,8,0,2827,FLINT,9642,310929,32.24735532
48503,LG58855,7/12/16,0,100,1442,FLINT,9642,310929,32.24735532
48503,LG69526,8/25/16,3,0,3201,FLINT,9642,310929,32.24735532
48503,LG88665,11/28/16,0,0,1100,FLINT,9642,310929,32.24735532
48503,LG64531,8/4/16,0,60,2565,FLINT,9642,310929,32.24735532
48503,LG59574,7/14/16,0,0,2926,FLINT,9642,310929,32.24735532
48503,LG70078,8/29/16,1,50,354,FLINT,9642,310929,32.24735532
48503,LG71357,9/6/16,3,0,3405,FLINT,9642,310929,32.24735532
48503,LG61551,7/21/16,0,0,1810,FLINT,9642,310929,32.24735532
48503,LG71329,9/6/16,0,0,1810,FLINT,9642,310929,32.24735532
48503,LG60637,7/19/16,2,0,705,FLINT,9642,310929,32.24735532
48503,LG80762,10/6/16,0,0,3622,FLINT,9642,310929,32.24735532
48503,LG82127,10/17/16,6,0,3422,FLINT,9642,310929,32.24735532
48503,LG58881,7/12/16,31,110,913,FLINT,9642,310929,32.24735532
48503,LG83042,10/20/16,0,0,509,FLINT,9642,310929,32.24735532
48503,LG62974,7/28/16,0,0,537,FLINT,9642,310929,32.24735532
48503,LG70039,8/29/16,0,0,433,FLINT,9642,310929,32.24735532
48503,LG60606,7/19/16,2,0,3414,FLINT,9642,310929,32.24735532
48503,LG61489,7/21/16,0,0,2525,FLINT,9642,310929,32.24735532
48503,LG60599,7/19/16,3,0,2823,FLINT,9642,310929,32.24735532
48503,LG83432,10/24/16,0,0,2042,FLINT,9642,310929,32.24735532
48503,LG65010,8/8/16,0,0,1809,FLINT,9642,310929,32.24735532
48503,LG59580,7/14/16,2,100,3220,FLINT,9642,310929,32.24735532
48503,LG69547,8/25/16,3,0,1417,FLINT,9642,310929,32.24735532
48503,LG61522,7/21/16,0,0,9167,FLINT,9642,310929,32.24735532
48503,LG90812,12/8/16,,,618,FLINT,9642,310929,32.24735532
48503,LG61513,7/21/16,2,0,812,FLINT,9642,310929,32.24735532
48503,LG90821,12/8/16,,,1533,FLINT,9642,310929,32.24735532
48503,LG87446,11/17/16,3,0,636,FLINT,9642,310929,32.24735532
48503,LG72169,9/8/16,0,100,913,FLINT,9642,310929,32.24735532
48503,LG65016,8/8/16,2,0,2509,FLINT,9642,310929,32.24735532
48503,LG63032,7/28/16,36,170,2610,FLINT,9642,310929,32.24735532
48503,LG61482,7/21/16,0,0,2113,FLINT,9642,310929,32.24735532
48503,LG69511,8/25/16,0,0,2464,FLINT,9642,310929,32.24735532
48503,LG87623,11/17/16,,,,GENESEE,9642,310929,32.24735532
48503,LG75309,9/21/16,0,0,4302,FLINT,9642,310929,32.24735532
48503,LG87386,11/17/16,0,0,4302,FLINT,9642,310929,32.24735532
