Zip.Code,Sample.Number,Date.Submitted,Analysis..Lead.,Lead.ppb,Analysis..Copper.,copper.ppb,Street..,Street.Name,City,N,income,ave.income
48502,LG87411,11/17/16,Lead,2,Copper,0,3618,MASON ST,FLINT,524,37439,71.44847328
48502,LG72810,9/12/16,Lead,0,Copper,0,1214,PERSHING ST,FLINT,524,37439,71.44847328
48502,LG87436,11/17/16,Lead,2,Copper,0,632,CRAWFORD ST,FLINT,524,37439,71.44847328
48502,LG58837,7/12/16,Lead,0,Copper,0,4609,MAINES ST,FLINT,524,37439,71.44847328
48502,LG87393,11/17/16,Lead,14,Copper,170,3514,CHICAGO BLVD,FLINT,524,37439,71.44847328
48502,LG89867,12/5/16,Lead,,Copper,,914,DOWNEY ST,FLINT,524,37439,71.44847328
48502,LG78676,9/29/16,Lead,10,Copper,0,1909,MONTEITH ST,FLINT,524,37439,71.44847328
48502,LG92050,12/15/16,Lead,0,Copper,0,735,E STEWART AVE,FLINT,524,37439,71.44847328
48502,LG85318,11/3/16,Lead,,Copper,,1221,INGLESIDE AVE,FLINT,524,37439,71.44847328
48502,LG84139,10/27/16,Lead,,Copper,,2002,KANSAS AVE,FLINT,524,37439,71.44847328
48502,LG79605,10/3/16,Lead,0,Copper,0,,,FLINT,524,37439,71.44847328
48502,LG75316,9/21/16,Lead,3,Copper,0,421,W WITHERBEE ST,FLINT,524,37439,71.44847328
48502,LG72823,9/12/16,Lead,0,Copper,360,2409,HILLS ST,FLINT,524,37439,71.44847328
48502,LG90810,12/8/16,Lead,,Copper,,1918,CAMBRIDGE AVENUE,FLINT,524,37439,71.44847328
48502,LG71319,9/6/16,Lead,0,Copper,0,3462,EVERGREEN PKWY,FLINT,524,37439,71.44847328
48502,LG61511,7/21/16,Lead,2,Copper,70,3301,DAVISON RD,FLINT,524,37439,71.44847328
48502,LG87409,11/17/16,Lead,1,Copper,0,210,GREEN ST,FLINT,524,37439,71.44847328
48502,LG85708,11/7/16,Lead,,Copper,,324,W 1ST AVE,FLINT,524,37439,71.44847328
48502,LG74835,9/19/16,Lead,0,Copper,0,914,CHURCH ST,FLINT,524,37439,71.44847328
48502,LG61545,7/21/16,Lead,0,Copper,70,5602,BALDWIN BLVD,FLINT,524,37439,71.44847328
48502,LG85724,11/7/16,Lead,,Copper,,618,E BISHOP AVE,FLINT,524,37439,71.44847328
48502,LG91196,12/12/16,Lead,,Copper,,5390,E MT MORRIS RD,FLINT,524,37439,71.44847328
48502,LG63036,7/28/16,Lead,2,Copper,0,506,E MARENGO AVE,FLINT,524,37439,71.44847328
48502,LG83097,10/20/16,Lead,,Copper,,3829,HOLLY AVE,FLINT,524,37439,71.44847328
48502,LG64552,8/4/16,Lead,2,Copper,0,2809,CRESTWOOD DR,FLINT,524,37439,71.44847328
48502,LG85709,11/7/16,Lead,,Copper,,821,W DARTMOUTH ST,FLINT,524,37439,71.44847328
48502,LG88053,11/21/16,Lead,,Copper,,6602,OXLEY DR,FLINT,524,37439,71.44847328
48502,LG58862,7/12/16,Lead,3,Copper,0,1201,SUNCREST DR,FLINT,524,37439,71.44847328
48502,LG88150,11/21/16,Lead,3,Copper,80,2501,HILLS ST,FLINT,524,37439,71.44847328
48502,LG66325,8/11/16,Lead,0,Copper,330,512,S GRAND TRAVERSE ST,FLINT,524,37439,71.44847328
48502,LG64519,8/4/16,Lead,0,Copper,100,817,PINGREE AVE,FLINT,524,37439,71.44847328
48502,LG64998,8/8/16,Lead,2,Copper,80,509,AVON ST,FLINT,524,37439,71.44847328
48502,LG81089,10/10/16,Lead,0,Copper,0,2125,HILLS ST,FLINT,524,37439,71.44847328
48502,LG58025,7/7/16,Lead,7,Copper,0,1506,KNIGHT AVE,FLINT,524,37439,71.44847328
48502,LG57979,7/7/16,Lead,0,Copper,70,1953,LAUREL OAK DR,FLINT,524,37439,71.44847328
48502,LG72137,9/8/16,Lead,0,Copper,0,2931,CLEMENT ST,FLINT,524,37439,71.44847328
48502,LG91193,12/12/16,Lead,,Copper,,2114,SANTA BARBARA DR,FLINT,524,37439,71.44847328
48502,LG91158,12/12/16,Lead,0,Copper,0,4402,FENTON RD,FLINT,524,37439,71.44847328
48502,LG88131,11/21/16,Lead,0,Copper,0,1002,S SAGINAW ST,FLINT,524,37439,71.44847328
48502,LG79585,10/3/16,Lead,2,Copper,0,2449,ZIMMERMAN ST,FLINT,524,37439,71.44847328
48502,LG60652,7/19/16,Lead,4,Copper,0,1713,ARIZONA AVE,FLINT,524,37439,71.44847328
48502,LG63017,7/28/16,Lead,0,Copper,0,309,E ALMA AVE,FLINT,524,37439,71.44847328
48502,LG84540,10/31/16,Lead,,Copper,,914,MAXINE ST,FLINT,524,37439,71.44847328
48503,LG64554,8/4/16,Lead,0,Copper,0,2505,E COURT ST,FLINT,9642,310929,32.24735532
48503,LG91168,12/12/16,Lead,,Copper,,3506,MACKIN RD,FLINT,9642,310929,32.24735532
48503,LG75352,9/21/16,Lead,41,Copper,90,2520,E COURT ST,FLINT,9642,310929,32.24735532
48503,LG93143,12/22/16,Lead,0,Copper,0,2101,WINDEMERE AVE,FLINT,9642,310929,32.24735532
48503,LG91205,12/12/16,Lead,,Copper,,644,CRAWFORD ST,FLINT,9642,310929,32.24735532
